"TSLA",1,2,3,4,5,6,7,8,9,10
"MACD",6,20,30,38,48,59,68,76,88,96
"MACD and 100-day MA",1,3,4,4,6,8,9,11,14,15
"100-day MA and 50-day MA",3,4,5,6,8,9,12,13,14,15
"Buy and Hold",1,1,1,1,1,1,1,1,1,1
"Predictive MACD",9,26,41,50,64,81,94,108,123,135
"2-day Predictive MACD",15,38,57,74,94,112,128,146,163,181
"Predictive MACD and 100-day MA",1,2,3,3,5,8,10,12,15,16

"AAPL",1,2,3,4,5,6,7,8,9,10
"MACD",6,12,22,32,42,49,57,65,74,83
"MACD and 100-day MA",1,2,2,2,4,4,5,6,6,9
"100-day MA and 50-day MA",2,4,5,7,8,8,10,11,12,14
"Buy and Hold",1,1,1,1,1,1,1,1,1,1
"Predictive MACD",10,21,32,50,65,76,88,102,115,131
"2-day Predictive MACD",19,40,59,83,103,118,136,154,172,193
"Predictive MACD and 100-day MA",1,3,4,4,7,7,9,11,11,13

"XOM",1,2,3,4,5,6,7,8,9,10
"MACD",9,17,25,35,43,52,63,73,87,95
"MACD and 100-day MA",1,2,4,5,6,7,8,10,11,14
"100-day MA and 50-day MA",1,2,4,5,8,9,10,12,13,15
"Buy and Hold",1,1,1,1,1,1,1,1,1,1
"Predictive MACD",13,28,40,51,60,75,89,109,127,139
"2-day Predictive MACD",23,45,63,80,96,123,144,164,185,201
"Predictive MACD and 100-day MA",2,3,6,8,9,11,12,15,16,20

"LLY",1,2,3,4,5,6,7,8,9,10
"MACD",12,22,28,40,49,57,65,77,90,99
"MACD and 100-day MA",3,5,6,9,10,12,13,16,16,17
"100-day MA and 50-day MA",2,4,5,6,7,8,10,11,11,13
"Buy and Hold",1,1,1,1,1,1,1,1,1,1
"Predictive MACD",14,27,35,55,69,79,89,110,126,136
"2-day Predictive MACD",25,41,55,73,95,111,127,148,168,187
"Predictive MACD and 100-day MA",3,6,7,8,9,11,12,14,14,15

"MCD",1,2,3,4,5,6,7,8,9,10
"MACD",9,23,34,42,51,62,73,85,94,103
"MACD and 100-day MA",3,4,5,8,11,12,13,15,17,21
"100-day MA and 50-day MA",2,3,4,6,9,9,10,11,14,15
"Buy and Hold",1,1,1,1,1,1,1,1,1,1
"Predictive MACD",11,27,44,59,75,92,107,127,140,155
"2-day Predictive MACD",19,37,55,74,96,119,138,162,177,201
"Predictive MACD and 100-day MA",2,3,4,7,10,11,12,15,18,22

"NVDA",1,2,3,4,5,6,7,8,9,10
"MACD",10,18,32,40,52,63,72,85,95,107
"MACD and 100-day MA",2,3,6,6,9,9,10,14,16,19
"100-day MA and 50-day MA",1,1,2,4,5,6,7,8,12,12
"Buy and Hold",1,1,1,1,1,1,1,1,1,1
"Predictive MACD",18,32,50,62,76,88,99,119,137,151
"2-day Predictive MACD",20,39,61,75,91,109,123,143,162,181
"Predictive MACD and 100-day MA",2,3,7,7,10,10,11,15,16,16

