TSLA,1,2,3,4,5,6,7,8,9,10,Action
MACD,14.13%,10.89%,25.68%,24.71%,18.50%,14.83%,13.32%,11.92%,10.33%,9.83%,Hold
MACD and 100-day MA,-38.15%,-14.63%,18.48%,27.42%,19.14%,15.91%,14.09%,11.95%,10.35%,10.83%,Hold
100-day MA and 50-day MA,-16.25%,1.83%,67.39%,104.69%,59.48%,46.02%,40.14%,35.15%,31.78%,28.37%,Buy
Buy and Hold,-44.69%,-8.88%,75.91%,80.25%,55.58%,48.65%,43.20%,38.61%,32.36%,53.50%,Buy
Predictive MACD,16.90%,15.73%,32.48%,31.71%,23.59%,19.08%,16.30%,14.36%,12.38%,11.62%,Hold
2-day Predictive MACD,-0.06%,9.42%,27.99%,24.51%,18.78%,15.27%,13.32%,11.86%,10.32%,9.75%,Hold
Predictive MACD and 100-day MA,-36.29%,-11.43%,36.74%,36.20%,24.46%,21.25%,16.56%,13.90%,11.94%,12.57%,Hold
,,,,,,,,,,,
AAPL,1,2,3,4,5,6,7,8,9,10,Action
MACD,12.09%,19.32%,27.72%,27.89%,22.87%,21.21%,20.04%,16.99%,16.68%,15.42%,Hold
MACD and 100-day MA,0.99%,-5.38%,13.61%,21.40%,16.59%,15.47%,14.02%,11.92%,12.99%,11.59%,Hold
100-day MA and 50-day MA,-3.69%,12.54%,24.97%,24.84%,19.92%,16.34%,17.69%,14.16%,14.43%,13.25%,Hold
Buy and Hold,-6.76%,13.33%,36.62%,35.15%,30.72%,28.34%,28.96%,22.19%,26.14%,25.32%,Buy
Predictive MACD,18.03%,17.47%,23.32%,22.87%,18.16%,16.35%,15.04%,12.65%,12.45%,11.32%,Hold
2-day Predictive MACD,-4.94%,6.03%,12.44%,10.75%,8.16%,7.96%,7.58%,6.28%,6.41%,6.13%,Hold
Predictive MACD and 100-day MA,2.96%,2.55%,13.28%,20.46%,18.83%,17.62%,16.75%,12.79%,13.90%,12.50%,Hold
,,,,,,,,,,,
XOM,1,2,3,4,5,6,7,8,9,10,Action
MACD,6.49%,10.12%,15.45%,8.12%,6.51%,5.99%,4.20%,2.24%,0.28%,1.55%,Hold
MACD and 100-day MA,20.25%,25.39%,22.86%,10.26%,7.03%,4.60%,3.89%,2.51%,2.35%,1.48%,Hold
100-day MA and 50-day MA,4.96%,26.36%,24.24%,14.28%,7.53%,4.71%,2.61%,1.92%,1.43%,1.02%,Hold
Buy and Hold,25.18%,36.21%,42.45%,6.41%,7.05%,3.81%,2.92%,2.43%,0.85%,1.29%,Buy
Predictive MACD,12.68%,15.53%,20.91%,11.85%,10.22%,8.89%,6.69%,2.81%,1.64%,2.72%,Hold
2-day Predictive MACD,8.80%,13.08%,14.25%,7.89%,8.01%,6.32%,4.96%,2.26%,0.61%,2.02%,Hold
Predictive MACD and 100-day MA,14.52%,21.08%,18.15%,8.83%,7.11%,4.60%,4.04%,2.38%,2.07%,0.70%,Hold
,,,,,,,,,,,
LLY,1,2,3,4,5,6,7,8,9,10,Action
MACD,-0.29%,16.20%,15.42%,8.11%,8.31%,6.75%,6.49%,4.39%,3.84%,3.69%,Hold
MACD and 100-day MA,1.68%,6.05%,4.77%,0.56%,2.44%,1.89%,1.37%,0.71%,1.13%,1.02%,Hold
100-day MA and 50-day MA,9.25%,11.33%,11.18%,12.57%,13.64%,10.64%,8.98%,7.00%,6.20%,6.81%,Hold
Buy and Hold,17.04%,34.77%,39.50%,26.60%,34.87%,25.74%,24.69%,20.40%,21.64%,19.48%,Buy
Predictive MACD,-0.17%,14.24%,16.06%,8.18%,8.40%,6.80%,6.63%,4.10%,3.84%,3.75%,Hold
2-day Predictive MACD,-6.20%,13.54%,16.52%,8.53%,7.73%,6.10%,6.66%,4.66%,4.45%,4.14%,Hold
Predictive MACD and 100-day MA,4.86%,-0.75%,0.93%,1.32%,3.59%,2.63%,2.16%,1.98%,2.32%,2.10%,Hold
,,,,,,,,,,,
MCD,1,2,3,4,5,6,7,8,9,10,Action
MACD,2.32%,-0.82%,3.07%,3.50%,2.22%,2.26%,1.80%,1.86%,1.81%,1.29%,Hold
MACD and 100-day MA,-0.51%,3.55%,5.23%,1.34%,1.23%,2.74%,2.24%,3.60%,2.69%,1.95%,Hold
100-day MA and 50-day MA,0.26%,0.04%,4.02%,-1.43%,-0.62%,-0.51%,1.08%,2.14%,1.36%,1.13%,Hold
Buy and Hold,13.70%,9.85%,18.68%,9.88%,11.80%,13.15%,11.78%,13.35%,12.22%,10.64%,Buy
Predictive MACD,9.83%,6.54%,8.10%,5.50%,4.03%,3.85%,3.22%,2.58%,2.51%,1.87%,Hold
2-day Predictive MACD,5.26%,7.45%,13.43%,8.16%,7.47%,6.52%,5.82%,4.97%,4.86%,3.89%,Hold
Predictive MACD and 100-day MA,0.25%,3.20%,5.42%,2.06%,2.96%,4.68%,3.94%,5.28%,4.04%,3.19%,Hold
,,,,,,,,,,,
NVDA,1,2,3,4,5,6,7,8,9,10,Action
MACD,3.19%,22.35%,19.49%,16.33%,10.43%,10.56%,9.23%,8.14%,7.26%,6.54%,Hold
MACD and 100-day MA,40.95%,41.89%,56.84%,50.06%,29.69%,29.15%,29.25%,25.86%,22.85%,20.64%,Hold
100-day MA and 50-day MA,68.85%,29.94%,33.52%,57.58%,38.20%,43.99%,48.61%,43.53%,37.87%,33.52%,Hold
Buy and Hold,-2.35%,40.77%,60.80%,56.26%,34.78%,45.97%,62.63%,61.49%,56.45%,55.54%,Buy
Predictive MACD,-1.88%,29.67%,18.25%,15.86%,10.84%,10.69%,9.80%,8.57%,7.60%,6.85%,Hold
2-day Predictive MACD,0.75%,31.30%,22.60%,20.63%,14.86%,15.02%,14.09%,12.47%,11.06%,9.97%,Hold
Predictive MACD and 100-day MA,42.90%,42.53%,41.72%,36.39%,24.00%,23.36%,23.12%,20.22%,17.93%,16.25%,Hold
